埼玉	さいたま	[n.] Saitama (city)
州	す	[n.] sandbank; sandbar
３日	みっか	[n.] the third day of the month // [n.] three days
すぐ		[adjn..; adv.; n.; us. kana] immediately; at once; directly // [n.] soon; before long; shortly // [n.] easily; without difficulty // [n.] right (near); nearby; just (handy)
すぐに		[adv.; us. kana] instantly; immediately; right away; at once
止める	とめる	[v1.; vt.] to stop; to turn off // [n.] to park // [n.] to prevent; to suppress (a cough); to hold back (tears); to hold (one's breath); to relieve (pain) // [n.] to stop (someone from doing something); to dissuade; to forbid; to prohibit // [n.] to notice; to be aware of; to concentrate on; to pay attention to; to remember; to bear in mind // [n.] to fix (in place); to fasten; to tack; to pin; to nail; to button; to staple // [n.] to detain; to keep in custody
止める	やめる	[v1.; vt.; us. kana] to stop (an activity); to cease; to discontinue; to end; to quit // [us. kana] to cancel; to abandon; to give up; to abolish; to abstain; to refrain
止める	とどめる	[v1.; vt.] to stop; to stay (e.g. the night); to cease; to put an end to // [n.] to contain; to keep (in position, in place); to limit // [n.] to record (e.g. a fact); to retain
決定	けってい	[n.; suru] decision; determination
いろいろ		[n.; adjn..; no-n.; adv.; to-adv.; us. kana] various // [arch.] various colors (colours)
問題	もんだい	[n.] question (e.g. on a test); problem // [n.] problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter // [n.] question (i.e. doubt) // [n.] public discussion; controversy // [n.] trouble; problem; inconvenience; difficulty
について		[phrase; us. kana] concerning; regarding // [us. kana] per (e.g. 100 yen per person); for every
法律	ほうりつ	[n.; no-n.] law
ように言う	ようにいう	[phrase; v5u.] to tell (somebody) to (do something)
しかし		[conj.; us. kana] however; but
ないと		[phrase; us. kana; abbr.; coll.] have to (verb); must (verb) // [n.] is indispensable; absolutely necessary
ペンス		[n.] pence
副	ふく	[n.; pref.] assistant; associate; vice-; sub-; deputy; substitute; auxiliary; supplementary; additional; collateral // [n.] duplicate; copy // [abbr.] adverb
５日	いつか	[n.] the fifth day of the month // [n.] five days
誰	だれ,たれ,た	[pron.; no-n.] who
決める	きめる	[v1.; vt.] to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix // [n.] to clinch (a victory); to decide (the outcome of a match) // [n.] to persist in doing; to go through with // [n.] to always do; to have made a habit of // [n.] to take for granted; to assume // [n.] to dress up; to dress to kill; to dress to the nines // [n.] to carry out successfully (a move in sports, a pose in dance, etc.); to succeed in doing // [n.] to immobilize with a double-arm lock (in sumo, judo, etc.) // [n.] to eat or drink something; to take illegal drugs
間違い	まちがい	[n.] mistake; error; blunder // [n.] accident; mishap; trouble // [n.] improper conduct (e.g. between man and woman); indiscretion
つもり		[n.; us. kana] intention; plan // [us. kana] conviction; belief
止まる	とまる	[v5ru.; vi.] to stop (moving); to come to a stop // [n.] to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended // [n.] to alight; to perch on
止まる	とどまる	[v5ru.; vi.; us. kana] to remain; to abide; to stay (in the one place) // [us. kana] to be limited to; to be confined to
止まる	やまる	[v5ru.; vi.; coll.; obscure] to cease; to stop; to be over
ため		[n.; us. kana] good; advantage; benefit; welfare // [us. kana] sake; purpose; objective; aim // [us. kana] consequence; result; effect // [us. kana] affecting; regarding; concerning
ため	ため,タメ	[n.; coll.] the same (age, social status); peer
入る	いる	[v5ru.; vi.] to get in; to go in; to come in; to flow into; to set; to set in
入る	はいる	[v5ru.; vi.] to enter; to go into // [n.] to break into // [n.] to join; to enroll // [n.] to contain; to hold; to accommodate // [n.] to have (an income of) // [n.] to get; to receive; to score
大事	だいじ,おおごと	[adjn..; n.] important; valuable; serious matter // [n.] safe (Tochigi dialect); OK
両方	りょうほう	[n.; no-n.] both; both sides; both parties
技術	ぎじゅつ	[n.] technology; engineering // [n.] technique; skill // [n.] art; craft
経験	けいけん	[n.; suru] experience
技術者	ぎじゅつしゃ	[n.] engineer; technical expert; technician; craftsperson
必要	ひつよう	[adjn..] necessary; needed; essential; indispensable // [n.] necessity; need; requirement
絶対	ぜったい	[adv.] absolutely; unconditionally // [no-n.] absolute; unconditional; unmistakable // [n.] absoluteness
社長	しゃちょう	[n.] company president; manager; director
無理	むり	[adjn..; n.] unreasonable; unnatural; unjustifiable // [n.] impossible // [adjn..; n.; suru] forcible; forced; compulsory // [adjn..] excessive (work, etc.); immoderate // [suru] to work too hard; to try too hard // [no-n.] irrational
朝ご飯	あさごはん	[n.] breakfast
埋め合わせ	うめあわせ	[n.] compensation
全然	ぜんぜん	[adv.] not at all (with neg. verb) // [n.] wholly; entirely; completely
実践	じっせん	[n.; suru; no-n.] practice; practising; putting into practice; implementation
文法	ぶんぽう	[n.; no-n.] grammar; syntax
思い出す	おもいだす	[v5su.; vt.] to recall; to remember; to recollect
終わる	おわる	[v5ru.; vi.; auxv.] to finish; to end; to close
君	きみ	[pron.; no-n.; male; fam.] you; buddy; pal // [n.] monarch; ruler; sovereign; (one's) master
君	くん	[n.; suffix] Mr (junior); master; boy
君	ぎみ	[suffix; sonkeigo] suffix appended to somebody else's family members
君	きんじ	[n.; arch.; coll.] you
試す	ためす	[v5su.; vt.] to attempt; to test; to try out
鋭い	するどい	[adj.] sharp (blade); pointed // [n.] sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) // [n.] perceptive; keen; quick (mind); astute; shrewd; discerning // [n.] nimble; agile; quick
思う	おもう	[v5u.; vt.] to think; to consider; to believe // [n.] to think (of doing); to plan (to do) // [n.] to judge; to assess; to regard // [n.] to imagine; to suppose; to dream // [n.] to expect; to look forward to // [n.] to feel; to desire; to want // [n.] to recall; to remember
住む	すむ	[v5mu.; vi.] to live (of humans); to reside; to inhabit; to dwell; to abide
一生懸命	いっしょうけんめい	[adjn..; advn.; n.; yojijukugo] very hard; with utmost effort; with all one's might; for dear life
演奏	えんそう	[n.; suru] musical performance
卒業	そつぎょう	[n.; suru; no-n.] graduation; completion (e.g. of a course) // [coll.] outgrowing something; moving on
落とす	おとす	[v5su.; vt.] to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid); to leave behind // [n.] to clean off (dirt, makeup, paint, etc.); to remove (e.g. stains or facial hair); to lose; to spend money at a certain place; to omit; to leave out; to secretly let escape // [n.] to lose (a match); to reject (an applicant); to fail (a course); to defeat (in an election) // [n.] to lower (e.g. shoulders or voice); to lessen (e.g. production or body weight); to worsen (quality); to reduce (e.g. rank or popularity); to speak badly of; to make light of; to fall into straitened circumstances // [n.] to fall into (e.g. a dilemma or sin); to make one's own; to have one's bid accepted; to force surrender; to take (e.g. an enemy camp or castle); to forcefully convince; to press for a confession; to deal with // [n.] to download; to copy from a computer to another medium // [n.] to make someone swoon (judo) // [n.] to finish a story (e.g. with the punch line) // [n.] to finish (a period, e.g. of fasting)
調子	ちょうし	[n.] tune; tone; key; pitch; time; rhythm // [n.] vein; mood; way; manner; style; knack // [n.] condition; state of health // [n.] impetus; spur of the moment; strain // [n.] trend
可笑しい	おかしい	[adj.; us. kana] funny; amusing; comical; laughable; ridiculous // [us. kana] strange; odd; funny; peculiar; weird; unusual; eccentric // [us. kana] improper; unsuitable; unbecoming // [us. kana] suspicious
捕まえる	つかまえる	[v1.; vt.] to catch; to arrest; to seize
掴む	つかむ	[v5mu.; vt.; us. kana] to seize; to catch; to grasp; to grip; to grab; to hold; to catch hold of; to lay one's hands on; to clutch // [us. kana] to understand; to grasp; to comprehend
運転	うんてん	[n.; suru; no-n.] operation (of a machine, etc.); operating; running; run // [n.] driving // [n.] working (capital, etc.)
運転免許	うんてんめんきょ	[n.] driver's license; driver's licence
親	おや	[n.] parent; parents // [n.] dealer (in cards, mahjong, etc.) // [n.] founder // [n.] (pet) owner
親	しん	[n.] intimacy; closeness; friendliness // [n.] close relative // [prefn.] pro- (e.g. pro-American, pro-Japanese, etc.)
海外旅行	かいがいりょこう	[n.] vacation abroad
地震	じしん,ない,なえ,じぶるい	[n.] earthquake
地震学	じしんがく	[n.] seismology
興味	きょうみ	[n.] interest (in something); curiosity (about something); zest (for)
無事	ぶじ	[adjn..; n.] safety; peace; quietness
願う	ねがう	[v5u.; vt.] to desire; to wish; to hope // [n.] to beg; to request; to implore; to pray // [auxv.] to have something done for oneself
歌詞	かし	[n.] song lyrics; words of a song; libretto
歌詞	うたことば	[n.] words mainly used in songs or poetry
簡単	かんたん	[adjn..; n.] simple; easy; uncomplicated // [n.] brief; quick; light
～年代		
場合	ばあい	[advn.; n.] case; situation
可能性	かのうせい	[n.] potentiality; likelihood; possibility; availability
含まれる	ふくまれる	[v1.; vi.] to be included; to be composed of; to be comprised of
添削	てんさく	[n.; suru] correction; looking over; touching up
専門家	せんもんか	[n.] specialist; expert; professional; authority; pundit
韓国料理		
命	いのち	[n.] life; life force // [n.] lifetime; lifespan // [n.] most important thing; foundation; core // [arch.] paired tattoos of the "life" kanji on the upper arms of a man and woman (indicating unwavering love) // [arch.] fate; destiny; karma
命	めい	[n.] command; decree // [n.] life // [n.] destiny
命	みこと	[sufn.; n.] Lord; Highness // [pron.; arch.; der.] you
命	みこと	[n.; sonkeigo] the spoken words of the emperor or a noble
壊す	こわす	[v5su.; vt.] to break; to destroy; to demolish // [n.] to wreck; to ruin; to spoil; to damage // [n.] to break (a bill, etc.)
心臓	しんぞう	[n.; no-n.] heart // [n.] guts; nerve; cheek; gall; spine // [n.] central part
瞬間	しゅんかん	[advn.; tempn.] moment; second; instant
美味しい	おいしい,オイシイ	[adj.; us. kana] delicious; tasty; sweet
趣味	しゅみ	[n.] hobby; pastime // [n.] tastes; preference; liking
薬	くすり	[n.] medicine; pharmaceuticals; (legal) drugs // [n.] efficacious chemical (i.e. gunpowder, pesticide, etc.) // [n.] (pottery) glaze // [n.] small bribe
薬	やく	[n.; slang] dope; narcotics; drugs // [sufn.] medication; drug; treatment; anti-
身長	しんちょう	[n.] height (of body); stature
合格	ごうかく	[n.; suru] success; passing (e.g. exam); eligibility
不合格	ふごうかく	[n.] (examination) failure; rejection; disqualification
勘弁	かんべん	[n.; suru] pardon; forgiveness; forbearance
動物園	どうぶつえん	[n.] zoo; zoological gardens
笑顔	えがお	[n.; suru] smiling face; smile
言い訳	いいわけ	[n.; suru] excuse // [n.] explanation
恥ずかしい	はずかしい	[adj.] shy; ashamed; embarrassed // [n.] disgraceful; shameful
恥ずかしがり屋	はずかしがりや	[n.] shy person
易しい	やさしい	[adj.; us. kana] easy; plain; simple
優しい	やさしい	[adj.] tender; kind; gentle; graceful; affectionate; amiable
約束	やくそく	[n.; suru] promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date // [n.] convention; rule // [n.] destiny; fate
守る	まもる	[v5ru.; vt.] to protect; to guard; to defend // [n.] to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow
